# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Big Bend,AZ,35.0917,-114.6328,US/Mountain,,,,0,,,,stream,,LC,bbblc,488.4
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,US/Mountain,,,,0,,,,stream,,LC,biblc,
Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,US/Mountain,,,,0,,,,stream,,LC,bmplc,
Colorado River Below Needles Bridge,CA,34.8181,-114.5908,US/Pacific,,,,0,,,,stream,,LC,bnblc,
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,US/Mountain,,,,0,,,,stream,,LC,boblc,
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-09 00:00:00,3436.65,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-10 00:00:00,3430.43,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-11 00:00:00,3432.38,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-12 00:00:00,3432.77,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-13 00:00:00,3434.51,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-14 00:00:00,3436.65,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-15 00:00:00,3433.74,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-16 00:00:00,3431.79,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-17 00:00:00,3425.78,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-18 00:00:00,3425.59,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-19 00:00:00,3429.07,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-20 00:00:00,3429.27,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-21 00:00:00,3435.48,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-22 00:00:00,3434.71,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-23 00:00:00,3434.13,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-24 00:00:00,3429.56,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-25 00:00:00,3422.59,cubic feet per second
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-01 00:00:00,0.9,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-02 00:00:00,0.98,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-03 00:00:00,1.19,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-04 00:00:00,1.17,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-05 00:00:00,1.18,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-06 00:00:00,1.18,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-07 00:00:00,1.09,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-08 00:00:00,1.02,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-09 00:00:00,1.02,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-10 00:00:00,1.02,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-11 00:00:00,1.02,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-12 00:00:00,0.71,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-13 00:00:00,0.71,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-14 00:00:00,0.72,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-15 00:00:00,0.69,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-16 00:00:00,0.68,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-17 00:00:00,0.68,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-18 00:00:00,0.69,Feet
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),colgbyco,Stream Gage Height,2017-10-19 00:00:00,0.71,Feet
